,,,,,Batting,,,,Batting Ratios,,,Batted Ball,,,,,,,,,Win Probability,,,Baserunning,,
232,Manuel Margot,29,MIN,61,0.238,46,0.211,0.075,1.60%,24.60%,11.50%,83,35.90%,25.60%,38.50%,23.10%,0.68,15.40%,61.50%,23.10%,-0.8,-0.40%,-7.4,33%,,67%
233,Brandon Marsh,26,PHI,98,0.377,133,0.352,0.247,6.10%,31.60%,7.10%,94,60.00%,30.00%,40.00%,28.30%,0.67,28.30%,53.30%,18.30%,0.1,0.10%,3.4,15%,100%,50%
234,Ketel Marte,30,ARI,135,0.405,157,0.34,0.21,3.70%,17.80%,8.90%,93.3,54.10%,20.20%,53.50%,22.20%,1.15,34.30%,52.50%,13.10%,1.3,0.70%,9.4,41%,100%,62%
235,Starling Marte,35,NYM,111,0.379,135,0.342,0.154,3.60%,21.60%,5.40%,88.2,46.90%,27.20%,46.90%,18.50%,0.97,23.50%,61.70%,14.80%,0.1,0.10%,2.7,38%,100%,54%
236,Austin Martin,25,MIN,68,0.315,97,0.265,0.145,1.50%,17.70%,8.80%,87.2,32.00%,28.00%,42.00%,24.00%,0.72,40.00%,44.00%,16.00%,0.1,0.10%,1.7,79%,100%,33%
237,J.D. Martinez,36,NYM,13,0.31,96,0.5,0.077,0.00%,38.50%,0.00%,88,37.50%,12.50%,37.50%,37.50%,0.6,37.50%,25.00%,37.50%,-0.1,-0.10%,-0.5,0%,,
238,Nick Martini,34,CIN,75,0.292,80,0.229,0.176,4.00%,26.70%,2.70%,86.9,37.30%,23.50%,41.20%,27.50%,0.7,35.30%,49.00%,15.70%,0,0.00%,1.1,71%,0%,60%
239,Michael Massey,26,KCR,29,0.223,33,0.222,0.034,0.00%,6.90%,0.00%,87.1,29.60%,18.50%,55.60%,22.20%,1.25,37.00%,63.00%,0.00%,-0.2,-0.10%,-0.9,67%,,50%
240,Miles Mastrobuoni,28,CHC,13,0.054,-89,0,0,0.00%,23.10%,7.70%,90.4,33.30%,11.10%,55.60%,22.20%,1.25,44.40%,33.30%,22.20%,-0.6,-0.30%,-3.6,200%,,100%
241,Jorge Mateo,29,BAL,39,0.349,113,0.391,0.143,0.00%,30.80%,10.30%,87.4,30.40%,30.40%,39.10%,30.40%,0.64,34.80%,56.50%,8.70%,0,0.00%,1.1,39%,100%,100%
242,Luis Matos,22,SFG,4,0,-118,0,0,0.00%,0.00%,0.00%,85.6,50.00%,0.00%,75.00%,25.00%,3,25.00%,75.00%,0.00%,0,0.00%,-0.7,,,
243,James McCann,34,BAL,43,0.284,84,0.286,0.14,2.30%,16.30%,0.00%,89.3,44.40%,25.00%,41.70%,27.80%,0.71,27.80%,52.80%,19.40%,0.8,0.50%,0.1,50%,,60%
244,Kyle McCann,26,OAK,19,0.471,221,0.375,0.375,10.50%,31.60%,15.80%,86.1,50.00%,20.00%,60.00%,20.00%,1.5,60.00%,30.00%,10.00%,0.7,0.30%,2.7,17%,,0%
245,Jake McCarthy,26,ARI,66,0.337,111,0.4,0.083,0.00%,24.20%,6.10%,81.8,19.60%,21.70%,37.00%,30.40%,0.63,28.30%,60.90%,10.90%,0,0.00%,3.7,36%,67%,29%
246,Chas McCormick,29,HOU,83,0.285,77,0.34,0.042,0.00%,27.70%,10.80%,84.5,34.00%,24.00%,38.00%,28.00%,0.63,22.00%,68.00%,10.00%,-0.6,-0.20%,-0.9,22%,100%,50%
247,Andrew McCutchen,37,PIT,88,0.304,87,0.267,0.145,3.40%,31.80%,11.40%,87.8,43.80%,22.90%,37.50%,31.30%,0.6,25.00%,56.30%,18.80%,-0.8,-0.50%,-4.6,25%,100%,40%
248,Scott McGough,34,ARI,1,0,-124,,0,0.00%,100.00%,0.00%,,,,,,,,,,-0.3,-0.20%,-0.8,,,
249,Reese McGuire,29,BOS,56,0.34,111,0.375,0.137,3.60%,30.40%,8.90%,86.6,38.20%,29.40%,35.30%,32.40%,0.55,29.40%,55.90%,14.70%,0,0.00%,2.6,18%,100%,50%
250,Ryan McKenna,27,BAL,1,0.801,458,1,0,0.00%,0.00%,0.00%,41.2,0.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,0.4,0%,,
251,Zach McKinstry,29,DET,47,0.262,61,0.333,0.049,0.00%,31.90%,8.50%,90.1,33.30%,33.30%,40.70%,22.20%,0.69,44.40%,48.10%,7.40%,-0.4,-0.20%,-1.6,21%,,100%
252,Ryan McMahon,29,COL,122,0.367,128,0.412,0.163,3.30%,27.90%,12.30%,93.1,57.70%,23.60%,54.20%,20.80%,1.18,30.60%,47.20%,22.20%,0.1,0.10%,4.4,16%,0%,40%
253,Jeff McNeil,32,NYM,106,0.307,92,0.272,0.096,0.90%,11.30%,8.50%,86,29.30%,31.30%,34.90%,21.70%,0.56,31.30%,49.40%,19.30%,-0.8,-0.40%,-1,27%,100%,21%
254,Curtis Mead,23,TBR,86,0.262,61,0.288,0.051,1.20%,22.10%,4.70%,89.1,35.00%,35.00%,35.00%,20.00%,0.54,26.70%,53.30%,20.00%,-0.3,-0.20%,-5.7,22%,100%,17%
255,Parker Meadows,24,DET,75,0.209,16,0.114,0.136,2.70%,38.70%,12.00%,83,29.70%,5.40%,24.30%,43.20%,0.33,32.40%,51.40%,16.20%,-0.8,-0.50%,-8.8,54%,100%,67%
256,MJ Melendez,25,KCR,95,0.292,81,0.2,0.198,4.20%,23.20%,9.50%,90.9,40.60%,17.20%,48.40%,28.10%,0.94,35.90%,42.20%,21.90%,0.1,0.00%,-0.9,24%,100%,71%
257,Danny Mendick,30,CHW,33,0.287,75,0.348,0.065,0.00%,24.20%,6.10%,87.4,30.40%,17.40%,47.80%,21.70%,0.92,30.40%,43.50%,26.10%,0,0.00%,-2.9,40%,100%,50%
258,Joey Meneses,32,WSN,105,0.276,72,0.297,0.032,0.00%,20.00%,7.60%,89.1,45.90%,23.00%,50.00%,20.30%,1,27.00%,62.20%,10.80%,-0.4,-0.20%,-3.5,9%,100%,38%
259,Whit Merrifield,35,PHI,46,0.255,45,0.205,0.093,2.20%,6.50%,4.40%,78.6,4.90%,14.60%,31.70%,43.90%,0.48,14.60%,58.50%,26.80%,-0.2,-0.10%,-3.2,40%,100%,25%
260,Jackson Merrill,21,SDP,106,0.328,110,0.342,0.083,0.90%,16.00%,8.50%,89.1,46.30%,25.00%,42.50%,31.30%,0.74,28.80%,55.00%,16.30%,0.2,0.10%,-1.1,31%,67%,44%
261,Matt Mervis,26,CHC,20,0.134,-41,0.143,0,0.00%,20.00%,5.00%,88.9,30.80%,14.30%,42.90%,35.70%,0.75,35.70%,57.10%,7.10%,-0.1,-0.10%,-1.6,0%,,0%
262,Jake Meyers,28,HOU,51,0.326,119,0.212,0.239,5.90%,19.60%,5.90%,88.2,43.20%,16.20%,37.80%,37.80%,0.67,29.70%,56.80%,13.50%,-0.4,-0.20%,1,18%,0%,0%
263,Drew Millas,26,WSN,6,0.178,-23,0.2,0,0.00%,16.70%,0.00%,74.4,0.00%,0.00%,60.00%,20.00%,3,0.00%,100.00%,0.00%,-0.1,-0.10%,-1.1,0%,100%,
264,Owen Miller,27,MIL,12,0.076,-69,0.143,0,0.00%,41.70%,0.00%,86.7,14.30%,28.60%,28.60%,42.90%,0.4,14.30%,85.70%,0.00%,0.1,0.00%,-1.6,100%,,
265,José Miranda,26,MIN,52,0.346,121,0.308,0.2,3.90%,17.30%,1.90%,89.7,34.10%,14.60%,46.30%,34.10%,0.86,34.10%,51.20%,14.60%,-0.2,-0.10%,-1,7%,100%,0%
266,Andruw Monasterio,27,MIL,9,0.157,-12,0,0,0.00%,11.10%,22.20%,83.8,16.70%,0.00%,50.00%,33.30%,1,33.30%,50.00%,16.70%,0,0.00%,-1.4,100%,,50%
267,Yoán Moncada,29,CHW,44,0.348,120,0.379,0.128,0.00%,22.70%,11.40%,90.2,34.50%,31.00%,55.20%,10.30%,1.23,34.50%,34.50%,31.00%,-0.2,-0.10%,-1,25%,100%,0%
268,Mickey Moniak,26,LAA,60,0.19,8,0.189,0.071,1.70%,30.00%,6.70%,83.3,23.70%,10.50%,36.80%,39.50%,0.58,44.70%,42.10%,13.20%,-0.9,-0.50%,-8.5,36%,,50%
269,Elehuris Montero,25,COL,91,0.255,44,0.246,0.061,1.10%,15.40%,7.70%,88.9,39.10%,21.40%,41.40%,28.60%,0.71,27.10%,48.60%,24.30%,-0.9,-0.40%,-11.8,13%,,17%
270,Dylan Moore,31,SEA,65,0.298,86,0.257,0.13,1.50%,29.20%,12.30%,90.1,44.40%,27.80%,16.70%,44.40%,0.2,41.70%,47.20%,11.10%,-0.2,-0.10%,-4.4,26%,83%,100%
271,Christopher Morel,25,CHC,116,0.303,86,0.234,0.163,3.50%,20.70%,9.50%,89.8,43.20%,19.80%,45.70%,24.70%,0.84,44.40%,38.30%,17.30%,-0.5,-0.30%,-4.2,45%,50%,57%
272,Gabriel Moreno,24,ARI,89,0.296,86,0.273,0.091,0.00%,12.40%,12.40%,89.1,36.40%,15.20%,56.10%,25.80%,1.28,21.20%,60.60%,18.20%,-0.5,-0.30%,0.9,30%,0%,50%
273,Ryan Mountcastle,27,BAL,107,0.385,155,0.352,0.2,3.70%,20.60%,9.40%,91.3,48.60%,20.00%,50.70%,22.70%,1.03,24.00%,45.30%,30.70%,1.1,0.60%,6.1,34%,100%,39%
274,Cedric Mullins,29,BAL,103,0.323,105,0.212,0.217,5.80%,21.40%,6.80%,90.2,44.40%,23.60%,38.90%,29.20%,0.64,30.60%,62.50%,6.90%,0.5,0.30%,4.5,50%,86%,56%
275,Max Muncy,33,LAD,117,0.358,123,0.317,0.227,4.30%,29.90%,12.80%,89.9,45.30%,21.50%,24.60%,40.00%,0.33,52.30%,36.90%,10.80%,0.2,0.10%,-1.4,33%,,33%
276,Sean Murphy,29,ATL,3,0.307,87,0,0,0.00%,33.30%,0.00%,89.1,50.00%,0.00%,50.00%,0.00%,1,50.00%,50.00%,0.00%,-0.1,0.00%,-0.4,,,0%
277,Tom Murphy,33,SFG,31,0.162,-6,0.125,0.037,0.00%,35.50%,12.90%,87.4,37.50%,31.30%,50.00%,12.50%,1,31.30%,56.30%,12.50%,-0.2,-0.10%,-3.8,33%,,
278,Dane Myers,28,MIA,5,0.322,97,0.25,0.4,0.00%,20.00%,0.00%,86.8,25.00%,25.00%,75.00%,0.00%,3,50.00%,50.00%,0.00%,0,0.00%,-0.9,100%,,
279,Omar Narváez,32,NYM,37,0.212,26,0.207,0.059,0.00%,13.50%,5.40%,84.5,23.30%,20.00%,36.70%,30.00%,0.61,26.70%,50.00%,23.30%,-0.2,-0.10%,-3.1,38%,,33%
280,Bo Naylor,24,CLE,76,0.291,89,0.306,0.108,2.60%,35.50%,14.50%,89,47.40%,23.70%,31.60%,26.30%,0.46,52.60%,39.50%,7.90%,-0.3,-0.20%,-0.7,27%,50%,14%
281,Josh Naylor,27,CLE,114,0.381,157,0.268,0.253,5.30%,11.40%,8.80%,90.3,42.50%,28.40%,42.00%,19.30%,0.73,39.80%,47.70%,12.50%,0.8,0.50%,4.8,20%,50%,33%
282,Zach Neto,23,LAA,104,0.271,66,0.328,0.103,1.00%,30.80%,5.80%,89.2,32.30%,20.00%,43.10%,26.20%,0.76,27.70%,53.80%,18.50%,-0.3,-0.20%,-4.4,21%,67%,40%
283,Tyler Nevin,27,OAK,80,0.354,135,0.345,0.151,3.80%,20.00%,6.30%,88.6,38.60%,24.10%,46.60%,27.60%,0.87,15.50%,48.30%,36.20%,0.1,0.00%,2,20%,100%,29%
284,Kevin Newman,30,ARI,51,0.231,37,0.154,0.163,3.90%,15.70%,3.90%,86.5,19.50%,22.00%,43.90%,24.40%,0.78,12.20%,63.40%,24.40%,-0.7,-0.40%,-1.4,38%,,33%
285,Tomás Nido,30,NYM,18,0.321,104,0.273,0.235,5.60%,27.80%,5.60%,94.5,66.70%,25.00%,33.30%,33.30%,0.5,33.30%,50.00%,16.70%,-0.2,-0.10%,-1.5,0%,,0%
286,Brandon Nimmo,31,NYM,127,0.339,113,0.25,0.147,2.40%,21.30%,16.50%,92.7,48.00%,29.30%,37.30%,28.00%,0.6,30.70%,53.30%,16.00%,0.6,0.30%,9,28%,100%,11%
287,Ryan Noda,28,OAK,92,0.224,42,0.2,0.076,1.10%,30.40%,12.00%,83.6,31.40%,17.30%,46.20%,21.20%,0.89,48.10%,42.30%,9.60%,-0.7,-0.30%,-6.3,27%,,38%
288,Lars Nootbaar,26,STL,63,0.292,73,0.209,0.132,1.60%,14.30%,14.30%,89.4,51.10%,22.20%,53.30%,17.80%,1.26,28.90%,53.30%,17.80%,-0.2,-0.10%,-0.1,17%,100%,25%
289,Nasim Nuñez,23,WSN,3,0.218,99,0,0,0.00%,0.00%,0.00%,85.6,33.30%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.4,,50%,100%
290,Ryan O'Hearn,30,BAL,75,0.401,169,0.286,0.254,5.30%,9.30%,10.70%,93,46.60%,30.00%,38.30%,28.30%,0.62,35.00%,48.30%,16.70%,0.5,0.30%,6.9,33%,,33%
291,Logan O'Hoppe,24,LAA,94,0.34,117,0.355,0.141,2.10%,22.30%,6.40%,90.1,43.10%,26.20%,32.30%,29.20%,0.49,29.20%,55.40%,15.40%,-0.3,-0.20%,-0.1,30%,,50%
292,Tyler O'Neill,29,BOS,85,0.491,223,0.341,0.4,10.60%,23.50%,15.30%,91.2,44.00%,20.00%,24.00%,38.00%,0.32,26.00%,52.00%,22.00%,0.7,0.40%,7.5,35%,100%,50%
293,Shohei Ohtani,29,LAD,144,0.459,188,0.375,0.294,4.90%,17.40%,10.40%,94.8,62.70%,35.90%,34.00%,26.20%,0.51,38.80%,47.60%,13.60%,0.2,0.20%,6.3,35%,100%,45%
294,Edward Olivares,28,PIT,66,0.329,107,0.25,0.167,4.60%,19.70%,7.60%,86.4,31.90%,27.70%,44.70%,21.30%,0.81,31.90%,53.20%,14.90%,0.5,0.30%,-1,35%,,40%
295,Matt Olson,30,ATL,119,0.328,101,0.265,0.186,2.50%,26.90%,10.90%,94.6,58.60%,28.20%,38.00%,29.60%,0.61,42.30%,42.30%,15.50%,0.1,0.00%,-4.2,32%,,23%
296,Rafael Ortega,33,CHW,5,0.138,-28,0,0,0.00%,20.00%,20.00%,90,66.70%,0.00%,33.30%,66.70%,0.5,33.30%,33.30%,33.30%,-0.1,0.00%,-1.1,200%,,
297,Joey Ortiz,25,MIL,74,0.361,134,0.327,0.148,1.40%,16.20%,16.20%,87.9,36.00%,20.00%,54.00%,18.00%,1.17,32.00%,46.00%,22.00%,-0.2,-0.20%,0.4,18%,0%,20%
298,James Outman,27,LAD,90,0.246,47,0.231,0.111,2.20%,30.00%,8.90%,87.9,41.50%,29.60%,29.60%,29.60%,0.42,38.90%,35.20%,25.90%,-0.4,-0.30%,-7.9,24%,50%,50%
299,Marcell Ozuna,33,ATL,116,0.452,188,0.338,0.32,7.80%,17.20%,11.20%,92.5,55.40%,28.90%,36.10%,30.10%,0.57,25.30%,60.20%,14.50%,1.3,0.90%,16.2,29%,,0%
300,Cristian Pache,25,PHI,19,0.246,47,0.222,0,0.00%,31.60%,21.10%,92,44.40%,22.20%,44.40%,33.30%,0.8,22.20%,55.60%,22.20%,0.3,0.10%,-1.6,17%,,
301,Andy Pages,23,LAD,51,0.349,124,0.324,0.234,3.90%,19.60%,0.00%,89.4,46.20%,30.80%,25.60%,38.50%,0.34,35.90%,28.20%,35.90%,-0.3,-0.20%,1.1,57%,0%,75%
302,Pedro Pagés,25,STL,3,0.236,40,0,0,0.00%,33.30%,33.30%,95.7,100.00%,100.00%,0.00%,0.00%,0,0.00%,100.00%,0.00%,0,0.00%,0.2,0%,,0%
303,Richie Palacios,27,TBR,79,0.397,159,0.39,0.172,3.80%,25.30%,16.50%,88,29.50%,34.10%,29.50%,29.50%,0.42,38.60%,50.00%,11.40%,0.5,0.30%,5,33%,100%,29%
304,Isaac Paredes,25,TBR,119,0.374,147,0.295,0.226,5.90%,18.50%,7.60%,86.1,28.20%,24.70%,28.20%,29.40%,0.39,38.80%,47.10%,14.10%,0,0.00%,-0.2,20%,,46%
305,Vinnie Pasquantino,26,KCR,115,0.315,99,0.193,0.175,3.50%,10.40%,13.90%,90.9,46.00%,20.70%,46.00%,27.60%,0.85,32.20%,56.30%,11.50%,-0.6,-0.40%,-3.9,31%,,10%
306,Graham Pauley,23,SDP,29,0.202,22,0.154,0.207,6.90%,48.30%,0.00%,87.7,60.00%,26.70%,33.30%,40.00%,0.5,46.70%,40.00%,13.30%,-0.5,-0.30%,-1.5,100%,,100%
307,Joc Pederson,32,ARI,75,0.411,163,0.318,0.2,2.70%,14.70%,17.30%,90.4,47.80%,23.40%,40.40%,25.50%,0.7,36.20%,55.30%,8.50%,0.1,0.10%,3.3,26%,,67%
308,Jeremy Peña,26,HOU,115,0.352,130,0.356,0.128,2.60%,13.90%,4.40%,88.9,40.70%,25.80%,43.00%,23.70%,0.75,24.70%,54.80%,20.40%,-1.3,-0.50%,-6,32%,67%,46%
309,Geraldo Perdomo,24,ARI,27,0.331,106,0.286,0.042,0.00%,11.10%,7.40%,87.8,19.00%,38.10%,33.30%,28.60%,0.5,42.90%,28.60%,28.60%,0.1,0.00%,0.7,33%,,0%
310,Jhonny Pereda,28,MIA,5,0,-127,0,0,0.00%,20.00%,0.00%,95.3,75.00%,0.00%,50.00%,50.00%,1,25.00%,50.00%,25.00%,-0.2,0.00%,-1.2,,,
311,Salvador Perez,34,KCR,114,0.429,183,0.345,0.25,6.10%,11.40%,7.90%,92.3,52.70%,24.20%,30.80%,37.40%,0.44,37.40%,46.20%,16.50%,1.5,0.90%,14.4,15%,,13%
312,Wenceel Pérez,24,DET,39,0.375,143,0.375,0.229,2.60%,25.60%,10.30%,88.8,36.00%,28.00%,24.00%,32.00%,0.32,24.00%,48.00%,28.00%,0.2,0.10%,1.1,23%,67%,100%
313,Blake Perkins,27,MIL,89,0.375,139,0.36,0.16,3.40%,24.70%,12.40%,88.8,47.20%,15.10%,60.40%,20.80%,1.6,26.40%,54.70%,18.90%,0.3,0.20%,4.7,38%,67%,33%
314,Jace Peterson,34,ARI,26,0.117,-42,0.059,0,0.00%,23.10%,11.50%,82.6,23.50%,23.50%,76.50%,0.00%,3.25,58.80%,29.40%,11.80%,-0.7,-0.40%,-4.3,50%,,0%
315,Tommy Pham,36,CHW,15,0.354,129,0.385,0,0.00%,13.30%,0.00%,84.3,23.10%,38.50%,38.50%,7.70%,0.63,0.00%,76.90%,23.10%,-0.1,0.00%,0.6,60%,,0%
316,Kevin Pillar,35,CHW,32,0.307,82,0.176,0.2,3.10%,25.00%,12.50%,84.9,36.80%,15.80%,26.30%,36.80%,0.38,36.80%,47.40%,15.80%,-0.1,-0.10%,-1.5,0%,100%,
317,René Pinto,27,TBR,49,0.309,100,0.304,0.214,4.10%,36.70%,8.20%,91.4,61.50%,19.20%,15.40%,50.00%,0.19,23.10%,38.50%,38.50%,-0.4,-0.20%,-0.1,25%,,0%
318,Jorge Polanco,30,SEA,117,0.267,76,0.224,0.094,2.60%,29.90%,17.10%,86.6,37.70%,23.00%,39.30%,34.40%,0.65,34.40%,49.20%,16.40%,0,0.00%,-1.5,21%,33%,33%
319,Jurickson Profar,31,SDP,122,0.395,154,0.338,0.184,3.30%,16.40%,13.90%,88.6,41.70%,31.00%,35.70%,23.80%,0.58,33.30%,51.20%,15.50%,0.7,0.30%,8.8,27%,100%,31%
320,Ceddanne Rafaela,23,BOS,106,0.258,55,0.236,0.163,1.90%,25.50%,3.80%,84.4,33.80%,28.40%,29.70%,31.10%,0.43,24.30%,52.70%,23.00%,-1.2,-0.70%,-3.7,59%,67%,50%
321,Cal Raleigh,27,SEA,96,0.329,117,0.289,0.214,6.30%,35.40%,11.50%,94.3,56.00%,15.70%,43.10%,35.30%,0.76,37.30%,41.20%,21.60%,-0.1,-0.10%,0.4,25%,,17%
322,Luke Raley,29,SEA,53,0.22,34,0.306,0.058,0.00%,30.20%,0.00%,85,33.30%,19.40%,47.20%,19.40%,1,30.60%,50.00%,19.40%,-0.5,-0.30%,-6,25%,100%,50%
323,Harold Ramírez,29,TBR,106,0.264,66,0.294,0.049,0.90%,17.00%,1.90%,84.5,32.50%,20.90%,61.60%,12.80%,1.61,18.60%,53.50%,27.90%,-0.4,-0.20%,-1.9,41%,75%,53%
324,José Ramírez,31,CLE,121,0.324,108,0.255,0.191,4.10%,10.70%,3.30%,88.7,37.90%,23.30%,35.90%,32.00%,0.56,38.80%,44.70%,16.50%,0.5,0.30%,8.2,47%,80%,64%
325,J.T. Realmuto,33,PHI,106,0.32,104,0.288,0.184,4.70%,26.40%,5.70%,88.2,45.10%,22.50%,45.10%,22.50%,0.82,38.00%,49.30%,12.70%,-0.1,-0.10%,-2.8,35%,33%,57%
326,Rob Refsnyder,33,BOS,31,0.509,247,0.444,0.375,3.20%,16.10%,16.10%,87.4,35.00%,21.10%,47.40%,15.80%,0.9,42.10%,52.60%,5.30%,0.2,0.10%,4.6,36%,50%,17%
327,Zach Remillard,30,CHW,5,0.16,-12,0.5,0,0.00%,60.00%,0.00%,61.8,0.00%,0.00%,50.00%,0.00%,,50.00%,50.00%,0.00%,0,0.00%,-0.7,100%,,100%
328,Anthony Rendon,34,LAA,83,0.32,100,0.328,0.04,0.00%,18.10%,7.20%,88.9,38.30%,19.70%,34.40%,36.10%,0.53,30.00%,41.70%,28.30%,0.5,0.30%,-0.7,33%,75%,40%
329,Hunter Renfroe,32,KCR,83,0.24,45,0.175,0.118,2.40%,20.50%,8.40%,87.1,30.50%,13.60%,42.40%,25.40%,0.74,33.90%,52.50%,13.60%,-0.8,-0.50%,-4.3,29%,,57%
330,Luis Rengifo,27,LAA,86,0.352,108,0.349,0.114,1.20%,17.40%,5.80%,83.8,29.20%,23.10%,56.90%,15.40%,1.37,38.50%,47.70%,13.80%,-0.1,-0.10%,1.3,43%,100%,56%
331,Pablo Reyes,30,BOS,64,0.198,20,0.268,0.033,0.00%,29.70%,4.70%,88,31.70%,17.10%,46.30%,31.70%,0.86,22.00%,51.20%,26.80%,-0.2,-0.20%,-5.2,27%,33%,33%
332,Bryan Reynolds,29,PIT,137,0.35,119,0.291,0.145,2.90%,19.70%,14.60%,87.3,38.90%,17.80%,50.00%,31.10%,1,37.80%,40.00%,22.20%,-0.3,-0.20%,3.2,16%,100%,42%
333,Austin Riley,27,ATL,123,0.31,89,0.299,0.144,1.60%,26.00%,8.10%,91.2,49.40%,25.30%,39.20%,29.10%,0.65,25.30%,58.20%,16.50%,-0.6,-0.40%,-3,40%,,70%
334,Leo Rivas,26,SEA,2,0.803,460,1,1,0.00%,50.00%,0.00%,93.7,0.00%,0.00%,0.00%,100.00%,0,100.00%,0.00%,0.00%,0.1,0.10%,0.7,100%,,0%
335,Emmanuel Rivera,28,MIA,63,0.271,59,0.289,0.035,0.00%,19.10%,7.90%,92.2,51.10%,15.60%,53.30%,26.70%,1.14,15.60%,57.80%,26.70%,-0.3,0.00%,-3.6,16%,100%,50%
336,Anthony Rizzo,34,NYY,127,0.344,121,0.313,0.164,3.90%,22.10%,6.30%,86.5,34.10%,25.00%,35.20%,25.00%,0.54,42.00%,37.50%,20.50%,-0.2,-0.20%,2.7,27%,,36%
337,Luis Robert Jr.,26,CHW,29,0.322,99,0.267,0.286,6.90%,37.90%,3.50%,92.4,64.70%,11.80%,47.10%,41.20%,0.89,11.80%,70.60%,17.60%,-0.2,-0.10%,-1.5,20%,100%,100%
338,Víctor Robles,27,WSN,5,0.525,179,0,0,0.00%,20.00%,60.00%,82.3,0.00%,100.00%,0.00%,0.00%,0,0.00%,100.00%,0.00%,0.1,0.10%,0.4,67%,100%,100%
339,Brayan Rocchio,23,CLE,90,0.296,87,0.27,0.089,0.00%,18.90%,8.90%,86.1,25.00%,25.00%,48.40%,18.80%,1,32.80%,51.60%,15.60%,-0.6,-0.40%,-4.7,46%,80%,46%
340,Brendan Rodgers,27,COL,87,0.299,74,0.316,0.123,1.20%,26.40%,6.90%,87.5,39.70%,20.70%,56.90%,19.00%,1.32,12.10%,67.20%,20.70%,-0.4,-0.20%,-5.4,38%,,14%
341,Julio Rodríguez,23,SEA,120,0.287,82,0.387,0.053,0.80%,30.80%,5.00%,91.4,46.10%,30.30%,42.10%,21.10%,0.73,22.40%,57.90%,19.70%,-0.5,-0.30%,-1.8,28%,78%,23%
342,Jake Rogers,29,DET,61,0.239,44,0.219,0.109,3.30%,34.40%,6.60%,90.8,45.50%,29.40%,38.20%,26.50%,0.62,32.40%,61.80%,5.90%,-0.4,-0.30%,-3.4,46%,,71%
343,Johan Rojas,23,PHI,87,0.299,74,0.288,0.063,0.00%,14.90%,6.90%,78.6,16.40%,11.90%,49.30%,17.90%,1.06,22.40%,50.70%,26.90%,-0.5,-0.30%,-4.6,35%,88%,55%
344,Josh Rojas,30,SEA,73,0.387,162,0.34,0.215,4.10%,16.40%,9.60%,87.6,35.80%,30.20%,35.80%,26.40%,0.56,32.10%,45.30%,22.60%,0.6,0.40%,0.8,29%,50%,50%
345,Miguel Rojas,35,LAD,48,0.378,134,0.278,0.209,4.20%,10.40%,10.40%,87.3,36.80%,31.60%,39.50%,26.30%,0.65,21.10%,55.30%,23.70%,-0.2,-0.10%,1.2,33%,100%,80%
346,Brent Rooker,29,OAK,73,0.334,122,0.3,0.273,6.90%,42.50%,8.20%,91.2,48.60%,20.00%,20.00%,45.70%,0.25,22.90%,60.00%,17.10%,0.1,0.00%,1.5,19%,,50%
347,Ben Rortvedt,26,TBR,55,0.402,164,0.531,0.064,0.00%,27.30%,14.60%,89.8,40.60%,37.50%,31.30%,28.10%,0.45,37.50%,43.80%,18.80%,0.7,0.30%,3.8,32%,100%,17%
348,Amed Rosario,28,TBR,100,0.362,137,0.358,0.134,2.00%,14.00%,3.00%,86.9,43.40%,26.50%,48.20%,20.50%,0.93,26.50%,50.60%,22.90%,0.6,0.40%,1.9,19%,75%,43%
