,,,,,Batting,,,,Batting Ratios,,,Batted Ball,,,,,,,,,Win Probability,,,Baserunning,,
349,Eddie Rosario,32,WSN,70,0.144,-18,0.102,0.077,1.40%,22.90%,5.70%,88.5,40.00%,14.00%,48.00%,32.00%,0.92,40.00%,50.00%,10.00%,-1,-0.50%,-10.5,33%,67%,
350,Eguy Rosario,24,SDP,50,0.371,140,0.346,0.304,6.00%,34.00%,4.00%,87.4,51.70%,23.30%,33.30%,30.00%,0.53,40.00%,43.30%,16.70%,-0.6,-0.40%,-3,8%,,50%
351,Esteury Ruiz,25,OAK,42,0.35,140,0.28,0.278,4.80%,23.80%,7.10%,88.3,46.40%,21.40%,25.00%,35.70%,0.35,25.00%,60.70%,14.30%,0,0.00%,0.5,36%,60%,100%
352,Keibert Ruiz,25,WSN,51,0.241,49,0.139,0.13,3.90%,15.70%,5.90%,85.4,34.20%,15.80%,42.10%,23.70%,0.73,23.70%,65.80%,10.50%,-0.2,-0.10%,-5.4,10%,,50%
353,Adley Rutschman,26,BAL,123,0.356,136,0.352,0.132,3.30%,16.30%,5.70%,90.6,49.50%,26.30%,32.60%,36.80%,0.48,29.50%,53.70%,16.80%,0.3,0.20%,6.5,33%,,47%
354,Gary Sánchez,31,MIL,52,0.348,120,0.2,0.255,5.80%,17.30%,5.80%,91.6,52.60%,13.20%,42.10%,36.80%,0.73,37.80%,51.40%,10.80%,0.3,0.20%,-0.7,17%,,50%
355,Jesús Sánchez,26,MIA,71,0.305,76,0.298,0.09,2.80%,25.40%,4.20%,94.7,55.10%,18.40%,63.30%,14.30%,1.72,22.40%,69.40%,8.20%,0.1,0.10%,-0.7,17%,100%,14%
356,Miguel Sanó,31,LAA,71,0.319,101,0.441,0.098,1.40%,38.00%,11.30%,97,62.90%,31.40%,45.70%,17.10%,0.84,17.10%,62.90%,20.00%,-0.2,-0.10%,-3.1,29%,,20%
357,Carlos Santana,38,MIN,102,0.269,69,0.191,0.163,3.90%,19.60%,7.80%,91.1,40.30%,19.40%,41.70%,29.20%,0.71,37.50%,55.60%,6.90%,-0.7,-0.40%,-6,22%,,33%
358,Anthony Santander,29,BAL,117,0.312,105,0.22,0.21,3.40%,17.10%,6.80%,87.1,32.90%,30.20%,29.10%,24.40%,0.41,29.10%,53.50%,17.40%,0,0.00%,-0.9,31%,,63%
359,Nolan Schanuel,22,LAA,92,0.307,93,0.267,0.076,2.20%,19.60%,9.80%,85.5,30.20%,15.90%,54.00%,23.80%,1.21,41.30%,47.60%,11.10%,-0.1,-0.10%,0,22%,,38%
360,Davis Schneider,25,TOR,70,0.366,140,0.293,0.213,4.30%,24.30%,10.00%,91.4,47.70%,20.50%,31.80%,36.40%,0.47,25.00%,61.40%,13.60%,0.7,0.30%,3.4,29%,,75%
361,Max Schuemann,27,OAK,27,0.231,41,0.125,0.13,3.70%,25.90%,7.40%,88.4,47.10%,11.80%,35.30%,41.20%,0.6,0.00%,76.50%,23.50%,-0.2,-0.10%,-2.5,40%,100%,50%
362,Kyle Schwarber,31,PHI,138,0.317,98,0.242,0.184,5.10%,31.90%,15.20%,93,56.20%,19.20%,41.10%,28.80%,0.7,47.90%,46.60%,5.50%,0.2,0.10%,-1.8,43%,50%,58%
363,Victor Scott II,23,STL,65,0.15,-24,0.109,0.051,0.00%,23.10%,3.10%,86.9,26.10%,17.40%,41.30%,28.30%,0.73,23.90%,63.00%,13.00%,-0.8,-0.40%,-8,67%,100%,25%
364,Corey Seager,30,TEX,114,0.286,78,0.275,0.079,1.80%,16.70%,10.50%,89.1,37.80%,19.50%,42.70%,32.90%,0.74,32.90%,52.40%,14.60%,-0.1,-0.10%,1.1,29%,,18%
365,Marcus Semien,33,TEX,130,0.341,117,0.255,0.176,3.90%,12.30%,8.50%,88.2,34.00%,32.00%,34.00%,26.20%,0.51,32.00%,52.40%,15.50%,0.3,0.20%,6.1,39%,100%,39%
366,Nick Senzel,29,WSN,44,0.381,157,0.174,0.41,11.40%,25.00%,6.80%,84.9,35.70%,10.70%,35.70%,39.30%,0.59,17.90%,64.30%,17.90%,0,0.00%,0.6,25%,0%,0%
367,Brian Serven,29,TOR,10,0.141,-23,0,0,0.00%,40.00%,10.00%,61.2,0.00%,0.00%,50.00%,25.00%,2,50.00%,50.00%,0.00%,0,0.00%,-0.6,50%,,
368,Gavin Sheets,28,CHW,96,0.372,140,0.317,0.198,3.10%,19.80%,11.50%,89.7,38.10%,41.30%,27.00%,25.40%,0.37,36.50%,50.80%,12.70%,0.4,0.10%,5.9,18%,100%,36%
369,Austin Shenton,26,TBR,36,0.281,80,0.263,0.212,2.80%,36.10%,8.30%,86.3,30.00%,30.00%,25.00%,35.00%,0.33,20.00%,40.00%,40.00%,-0.2,-0.10%,-2.2,25%,,50%
370,Braden Shewmake,26,CHW,43,0.229,21,0.171,0.122,2.30%,14.00%,2.30%,87,30.60%,19.40%,41.70%,25.00%,0.75,44.40%,27.80%,27.80%,-0.5,-0.20%,-4.8,29%,100%,100%
371,Zack Short,29,NYM,12,0.165,22,0.2,0,0.00%,33.30%,16.70%,77.1,16.70%,16.70%,33.30%,16.70%,0.67,16.70%,50.00%,33.30%,-0.1,0.00%,-1.9,67%,0%,
372,Michael Siani,24,STL,48,0.21,5,0.16,0.054,0.00%,25.00%,10.40%,72.5,13.30%,13.30%,53.30%,6.70%,2.29,36.70%,43.30%,20.00%,-0.5,-0.20%,-5.1,90%,100%,75%
373,Jon Singleton,32,HOU,47,0.277,75,0.333,0.048,0.00%,25.50%,10.60%,87.5,34.50%,23.30%,46.70%,26.70%,0.88,36.70%,46.70%,16.70%,-0.7,-0.30%,-6.2,20%,,0%
374,Jose Siri,28,TBR,96,0.253,60,0.326,0.083,1.00%,42.70%,8.30%,89.4,45.50%,29.50%,45.50%,22.70%,0.83,27.30%,56.80%,15.90%,-0.4,-0.30%,-6.2,33%,67%,80%
375,Austin Slater,31,SFG,36,0.201,27,0.136,0,0.00%,19.40%,19.40%,88.7,36.40%,18.20%,59.10%,22.70%,1.44,13.60%,59.10%,27.30%,-0.6,-0.30%,-7.2,30%,50%,29%
376,Josh Smith,26,TEX,92,0.379,146,0.359,0.152,1.10%,15.20%,9.80%,85.3,32.30%,30.80%,36.90%,26.20%,0.6,40.00%,52.30%,7.70%,0.8,0.50%,7.4,31%,,67%
377,Pavin Smith,28,ARI,16,0.304,87,0.154,0.267,6.30%,6.30%,6.30%,88.4,28.60%,14.30%,35.70%,35.70%,0.56,21.40%,50.00%,28.60%,-0.1,0.00%,2.8,100%,,0%
378,Will Smith,29,LAD,114,0.408,162,0.395,0.176,2.60%,14.00%,7.90%,90.5,43.20%,25.80%,39.30%,29.20%,0.65,29.20%,48.30%,22.50%,0.8,0.50%,8.7,30%,0%,50%
379,Jorge Soler,32,SFG,118,0.32,104,0.254,0.186,4.20%,26.30%,11.90%,88.7,40.30%,18.10%,33.30%,38.90%,0.5,26.40%,54.20%,19.40%,-0.4,-0.20%,-5.4,28%,,18%
380,Edmundo Sosa,28,PHI,18,0.419,167,0.364,0.25,5.60%,22.20%,5.60%,89.8,33.30%,16.70%,25.00%,50.00%,0.33,41.70%,33.30%,25.00%,0.1,0.10%,1.1,17%,,0%
381,Lenyn Sosa,24,CHW,40,0.175,-4,0.2,0.053,0.00%,32.50%,2.50%,86.2,34.60%,30.80%,42.30%,23.10%,0.79,23.10%,61.50%,15.40%,-0.5,-0.10%,-6.1,33%,,0%
382,Juan Soto,25,NYY,140,0.43,184,0.319,0.237,5.00%,12.90%,17.10%,94.4,57.10%,26.50%,40.80%,25.50%,0.7,34.00%,49.50%,16.50%,1.3,0.80%,15.8,26%,67%,33%
383,George Springer,34,TOR,124,0.298,87,0.236,0.118,2.40%,14.50%,11.30%,86.8,35.90%,26.10%,50.00%,19.60%,1,19.60%,57.60%,22.80%,-0.4,-0.20%,-5.8,23%,100%,50%
384,Jacob Stallings,34,COL,31,0.402,146,0.364,0.08,0.00%,12.90%,9.70%,86.7,33.30%,18.20%,50.00%,27.30%,1,40.90%,50.00%,9.10%,-0.1,0.00%,-1.1,23%,,20%
385,Giancarlo Stanton,34,NYY,104,0.343,120,0.293,0.24,5.80%,30.80%,7.70%,91.7,50.00%,20.30%,46.90%,26.60%,0.88,31.30%,56.30%,12.50%,-0.1,0.00%,-0.2,36%,,27%
386,Spencer Steer,26,CIN,124,0.379,126,0.295,0.175,2.40%,18.60%,13.70%,90.3,50.00%,27.20%,37.00%,28.40%,0.59,28.40%,46.90%,24.70%,0.6,0.30%,8.6,30%,100%,38%
387,Tyler Stephenson,27,CIN,77,0.365,124,0.261,0.185,3.90%,22.10%,13.00%,93.4,57.10%,18.40%,53.10%,28.60%,1.13,34.70%,53.10%,12.20%,0.3,0.10%,4.8,39%,100%,40%
388,DJ Stewart,30,NYM,66,0.367,133,0.212,0.22,4.60%,22.70%,19.70%,90,44.40%,13.90%,47.20%,36.10%,0.89,52.80%,38.90%,8.30%,0.1,0.00%,1.3,9%,100%,20%
389,Trevor Story,31,BOS,34,0.256,57,0.318,0.097,0.00%,26.50%,8.80%,88.1,22.70%,36.40%,22.70%,36.40%,0.29,18.20%,45.50%,36.40%,-0.4,-0.20%,-2.5,10%,50%,0%
390,Bryson Stott,26,PHI,99,0.311,88,0.235,0.14,3.00%,17.20%,10.10%,85.4,30.00%,23.90%,43.70%,22.50%,0.78,36.60%,43.70%,19.70%,0.4,0.30%,0.5,33%,83%,33%
391,Garrett Stubbs,31,PHI,21,0.249,42,0.2,0,0.00%,19.10%,9.50%,77.2,6.70%,26.70%,46.70%,20.00%,1,53.30%,40.00%,6.70%,-0.2,-0.10%,-2.1,20%,100%,50%
392,Eugenio Suárez,32,ARI,122,0.288,76,0.307,0.11,1.60%,27.90%,6.60%,88.5,35.10%,26.00%,37.70%,31.20%,0.6,33.80%,50.60%,15.60%,0.1,0.10%,0.8,41%,,54%
393,Brett Sullivan,30,SDP,2,0,-118,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.9,,,
394,Jack Suwinski,25,PIT,103,0.271,64,0.2,0.111,1.90%,18.50%,11.70%,88,36.60%,25.00%,41.70%,22.20%,0.71,31.90%,56.90%,11.10%,-0.2,-0.10%,-7,39%,100%,50%
395,Seiya Suzuki,29,CHC,68,0.379,142,0.395,0.22,4.40%,29.40%,8.80%,94.6,53.70%,26.80%,43.90%,24.40%,0.78,22.00%,56.10%,22.00%,0.4,0.20%,6.8,36%,0%,57%
396,Dansby Swanson,30,CHC,115,0.308,89,0.31,0.135,2.60%,27.00%,7.80%,88.8,41.90%,24.30%,47.30%,24.30%,0.9,29.70%,52.70%,17.60%,-0.2,-0.10%,-0.2,47%,60%,44%
397,Fernando Tatis Jr.,25,SDP,139,0.334,112,0.253,0.195,4.30%,19.40%,10.10%,92,55.80%,22.70%,44.30%,28.90%,0.8,29.90%,55.70%,14.40%,0.5,0.30%,2,37%,75%,56%
398,Mike Tauchman,33,CHC,88,0.416,164,0.353,0.211,3.40%,19.30%,17.10%,88.5,42.60%,20.40%,42.60%,29.60%,0.74,18.50%,59.30%,22.20%,0.9,0.60%,7.6,40%,50%,47%
399,Leody Taveras,25,TEX,97,0.256,60,0.274,0.079,0.00%,16.50%,7.20%,87.2,33.80%,27.00%,37.80%,28.40%,0.62,24.30%,45.90%,29.70%,-0.9,-0.50%,-11.4,22%,50%,25%
400,Chris Taylor,33,LAD,58,0.176,-2,0.115,0,0.00%,39.70%,12.10%,82.5,22.20%,22.20%,48.10%,14.80%,1,22.20%,70.40%,7.40%,-0.2,-0.20%,-6.2,18%,50%,33%
401,Michael A. Taylor,33,PIT,81,0.285,69,0.391,0.042,0.00%,34.60%,6.20%,85.3,38.30%,22.90%,45.80%,18.80%,0.96,27.10%,56.30%,16.70%,-0.4,-0.30%,-4.7,35%,100%,50%
402,Samad Taylor,25,SEA,5,0.341,125,0.5,0,0.00%,20.00%,0.00%,75.5,25.00%,0.00%,50.00%,0.00%,2,0.00%,25.00%,75.00%,0.1,0.10%,0.5,100%,,0%
403,Tyrone Taylor,30,NYM,66,0.343,114,0.313,0.148,3.00%,18.20%,4.60%,85.5,33.30%,27.50%,35.30%,19.60%,0.58,33.30%,49.00%,17.60%,-0.4,-0.20%,0,22%,100%,29%
404,Rowdy Tellez,29,PIT,92,0.266,63,0.254,0.062,1.10%,23.90%,9.80%,89.6,45.00%,25.00%,36.70%,26.70%,0.58,31.70%,51.70%,16.70%,-0.6,-0.30%,-4.6,24%,,22%
405,Matt Thaiss,29,LAA,23,0.387,150,0.545,0.105,0.00%,34.80%,17.40%,94.5,54.50%,45.50%,18.20%,27.30%,0.22,27.30%,45.50%,27.30%,0,0.00%,2.9,30%,,75%
406,Alek Thomas,24,ARI,14,0.304,87,0.2,0.286,7.10%,21.40%,0.00%,91.6,54.50%,9.10%,72.70%,18.20%,2.67,63.60%,36.40%,0.00%,-0.3,-0.20%,-2,50%,,0%
407,Lane Thomas,28,WSN,96,0.266,51,0.212,0.069,2.10%,20.80%,8.30%,88.2,36.80%,25.00%,32.40%,27.90%,0.48,26.50%,45.60%,27.90%,-0.3,-0.20%,-4.6,18%,92%,67%
408,Bubba Thompson,26,CIN,18,0.191,-41,0.286,0.056,0.00%,61.10%,0.00%,85.7,28.60%,28.60%,57.10%,14.30%,1.33,42.90%,42.90%,14.30%,0.1,0.10%,-4.1,250%,100%,100%
409,Michael Toglia,25,COL,49,0.217,17,0.043,0.255,8.20%,40.80%,2.00%,91.5,55.60%,7.40%,44.40%,44.40%,0.8,44.40%,40.70%,14.80%,-0.7,-0.30%,-6.9,100%,,33%
410,Spencer Torkelson,24,DET,116,0.261,60,0.275,0.078,0.00%,20.70%,8.60%,88.1,36.30%,16.30%,35.00%,32.50%,0.54,37.50%,50.00%,12.50%,-0.7,-0.50%,-4.6,30%,,50%
411,Abraham Toro,27,OAK,92,0.298,94,0.286,0.141,2.20%,21.70%,5.40%,86.1,26.20%,20.00%,36.90%,30.80%,0.59,26.20%,55.40%,18.50%,0.4,0.10%,0.5,28%,100%,0%
412,Gleyber Torres,27,NYY,129,0.272,68,0.31,0.035,0.00%,24.00%,8.50%,87.8,31.80%,23.50%,36.50%,27.10%,0.58,20.00%,44.70%,35.30%,-0.6,-0.40%,-8,36%,75%,53%
413,Ezequiel Tovar,22,COL,120,0.351,107,0.412,0.138,2.50%,32.50%,5.80%,88.9,40.30%,23.60%,33.30%,33.30%,0.51,30.60%,52.80%,16.70%,0.9,0.30%,0,24%,100%,50%
414,Taylor Trammell,26,TOT,8,0.199,12,0.25,0,0.00%,37.50%,12.50%,82,25.00%,0.00%,50.00%,25.00%,1,25.00%,50.00%,25.00%,-0.1,-0.10%,-0.2,100%,,0%
415,Taylor Trammell,26,LAD,6,0,-126,0,0,0.00%,50.00%,0.00%,74.6,0.00%,0.00%,33.30%,33.30%,0.5,33.30%,33.30%,33.30%,-0.1,-0.10%,-1.5,,,
416,Taylor Trammell,26,NYY,2,0.796,449,1,0,0.00%,0.00%,50.00%,104.1,100.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,1.3,100%,,0%
417,Alan Trejo,28,COL,22,0.083,-76,0.125,0,0.00%,27.30%,0.00%,87,31.30%,18.80%,56.30%,25.00%,1.29,6.30%,75.00%,18.80%,-0.3,-0.10%,-4.1,0%,,0%
418,Jose Trevino,31,NYY,56,0.328,109,0.286,0.12,3.60%,12.50%,8.90%,87.7,31.80%,29.50%,36.40%,29.50%,0.57,25.00%,52.30%,22.70%,-0.4,-0.20%,-2.2,35%,,75%
419,Jared Triolo,26,PIT,110,0.266,64,0.263,0.051,0.90%,20.00%,10.00%,86.7,32.50%,24.70%,48.10%,27.30%,0.93,18.20%,59.70%,22.10%,-0.5,-0.30%,-3,13%,67%,17%
420,Chadwick Tromp,29,ATL,28,0.289,74,0.412,0.115,0.00%,35.70%,3.60%,87.2,29.40%,29.40%,41.20%,29.40%,0.7,41.20%,47.10%,11.80%,-0.3,-0.20%,1.4,13%,,0%
421,Mike Trout,32,LAA,126,0.377,138,0.194,0.321,7.90%,21.40%,12.70%,89.2,41.50%,23.20%,24.40%,39.00%,0.32,26.80%,46.30%,26.80%,-0.2,-0.10%,-0.5,23%,86%,43%
422,Cole Tucker,27,LAA,4,0.337,162,0.333,0,0.00%,0.00%,25.00%,77.8,0.00%,0.00%,100.00%,0.00%,,33.30%,66.70%,0.00%,0.1,0.00%,0.5,0%,50%,0%
423,Kyle Tucker,27,HOU,127,0.418,172,0.3,0.262,5.50%,15.80%,15.00%,90.9,48.80%,29.90%,25.30%,41.40%,0.34,31.00%,44.80%,24.10%,0.7,0.20%,9.6,28%,100%,23%
424,Brice Turang,24,MIL,100,0.38,120,0.333,0.122,2.00%,14.00%,9.00%,86.5,33.80%,20.80%,50.60%,22.10%,1.15,24.70%,50.60%,24.70%,0.4,0.30%,3.6,35%,100%,58%
425,Justin Turner,39,TOR,105,0.395,168,0.343,0.222,3.80%,17.10%,10.50%,89.4,40.50%,31.10%,24.30%,36.50%,0.32,31.10%,51.40%,17.60%,0.5,0.20%,2,30%,0%,39%
426,Trea Turner,31,PHI,136,0.399,148,0.41,0.128,1.50%,16.90%,6.60%,90.5,47.10%,22.50%,46.10%,23.50%,0.85,37.30%,51.00%,11.80%,0.4,0.20%,4.2,44%,88%,56%
427,Luis Urías,27,SEA,36,0.319,109,0.2,0.29,5.60%,38.90%,8.30%,87.5,47.10%,29.40%,23.50%,35.30%,0.31,35.30%,47.10%,17.60%,0.2,0.10%,2.1,13%,,0%
428,Ramón Urías,30,BAL,47,0.216,35,0.184,0.087,2.10%,14.90%,2.10%,83.8,17.90%,10.30%,59.00%,20.50%,1.44,25.60%,53.80%,20.50%,-0.4,-0.30%,-4.6,50%,,50%
429,Gio Urshela,32,DET,58,0.299,88,0.362,0.035,0.00%,17.20%,1.70%,84.3,23.40%,40.40%,44.70%,10.60%,0.81,12.80%,66.00%,21.30%,0.3,0.20%,-1.6,22%,,17%
430,Enmanuel Valdez,25,BOS,90,0.195,12,0.182,0.11,2.20%,31.10%,4.40%,89.3,44.60%,17.20%,31.00%,37.90%,0.47,37.90%,48.30%,13.80%,-0.8,-0.50%,-8.3,36%,0%,33%
431,Ildemaro Vargas,32,WSN,57,0.354,141,0.364,0.1,0.00%,10.50%,12.30%,87.2,40.90%,25.00%,54.50%,15.90%,1.26,36.40%,43.20%,20.50%,-0.2,-0.10%,0.9,22%,40%,22%
432,Daulton Varsho,27,TOR,102,0.362,132,0.259,0.267,5.90%,25.50%,11.80%,85.8,37.50%,20.30%,37.50%,23.40%,0.62,46.90%,35.90%,17.20%,0.9,0.50%,6.3,41%,100%,42%
433,Andrew Vaughn,26,CHW,111,0.227,35,0.257,0.05,0.00%,27.90%,7.20%,89.9,37.10%,22.90%,41.40%,25.70%,0.71,15.70%,62.90%,21.40%,-1.2,-0.40%,-10.3,25%,100%,38%
434,Christian Vázquez,33,MIN,61,0.278,68,0.3,0.054,1.60%,26.20%,3.30%,89.8,46.50%,27.90%,37.20%,27.90%,0.64,23.30%,60.50%,16.30%,-0.7,-0.30%,-4.2,29%,100%,0%
435,Nelson Velázquez,25,KCR,93,0.308,92,0.333,0.131,2.20%,33.30%,8.60%,88,37.70%,18.90%,45.30%,30.20%,0.83,32.10%,47.20%,20.80%,-0.4,-0.30%,-2.2,42%,100%,57%
436,Alex Verdugo,28,NYY,120,0.356,131,0.256,0.178,3.30%,8.30%,12.50%,86.6,34.00%,21.30%,48.90%,25.50%,0.96,35.10%,40.40%,24.50%,0.1,0.10%,-2.4,33%,50%,27%
437,Mark Vientos,24,NYM,7,0.557,267,0.333,0.429,14.30%,0.00%,0.00%,90,42.90%,0.00%,57.10%,42.90%,1.33,0.00%,71.40%,28.60%,0.5,0.20%,1.6,0%,,
438,Matt Vierling,27,DET,78,0.322,104,0.339,0.147,2.60%,21.80%,2.60%,92.6,50.00%,37.90%,27.60%,20.70%,0.39,25.90%,51.70%,22.40%,-0.5,-0.30%,-5.1,41%,,75%
439,Daniel Vogelbach,31,TOR,23,0.244,52,0.167,0.056,0.00%,26.10%,21.70%,89.1,41.70%,25.00%,16.70%,50.00%,0.2,25.00%,58.30%,16.70%,-0.2,-0.10%,-0.4,14%,,0%
440,Anthony Volpe,23,NYY,132,0.356,123,0.329,0.132,2.30%,19.70%,10.60%,87.6,38.60%,25.80%,48.30%,21.30%,0.96,18.00%,59.60%,22.50%,0.4,0.20%,5.9,39%,88%,36%
441,LaMonte Wade Jr.,30,SFG,78,0.399,161,0.476,0.113,1.30%,26.90%,16.70%,89.2,41.90%,32.60%,41.90%,25.60%,0.72,34.90%,48.80%,16.30%,0.2,0.10%,6.4,29%,50%,50%
442,Tyler Wade,29,SDP,64,0.301,79,0.308,0.019,0.00%,21.90%,12.50%,78.1,20.50%,40.00%,35.00%,15.00%,0.64,45.00%,52.50%,2.50%,0.3,0.20%,1,33%,100%,44%
443,Christian Walker,33,ARI,132,0.363,134,0.324,0.167,3.80%,23.50%,15.20%,90.3,49.40%,24.10%,43.00%,26.60%,0.76,26.60%,59.50%,13.90%,-0.3,-0.20%,1.7,37%,0%,21%
444,Jordan Walker,22,STL,67,0.229,36,0.214,0.103,0.00%,26.90%,9.00%,91.7,40.50%,16.70%,50.00%,28.60%,1,26.20%,52.40%,21.40%,-0.7,-0.40%,-5.3,25%,,0%
445,Forrest Wall,28,ATL,1,0,-127,0,0,0.00%,0.00%,0.00%,96,100.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.4,,,50%
446,Matt Wallner,26,MIN,33,0.252,56,0.125,0.16,3.00%,51.50%,9.10%,86.1,33.30%,22.20%,33.30%,22.20%,0.5,66.70%,22.20%,11.10%,-0.1,0.00%,0.2,0%,,0%
447,Jared Walsh,30,TEX,60,0.291,82,0.355,0.094,1.70%,35.00%,11.70%,84.2,31.30%,25.00%,31.30%,37.50%,0.45,25.00%,50.00%,25.00%,-0.4,-0.30%,-2.2,44%,,56%
448,Taylor Ward,30,LAA,125,0.368,137,0.298,0.231,5.60%,21.60%,5.60%,91.9,47.80%,33.00%,28.60%,36.30%,0.4,18.70%,50.50%,30.80%,0.2,0.10%,6.5,34%,67%,18%
449,Austin Wells,24,NYY,62,0.263,59,0.195,0.042,0.00%,14.50%,19.40%,84.6,29.30%,26.80%,26.80%,31.70%,0.39,24.40%,43.90%,31.70%,-0.2,-0.20%,-3.3,30%,100%,33%
450,Joey Wendle,34,NYM,25,0.273,63,0.353,0.042,0.00%,28.00%,4.00%,88.6,23.50%,17.60%,47.10%,35.30%,0.89,11.80%,41.20%,47.10%,0.1,0.10%,-0.8,43%,100%,100%
451,Davis Wendzel,27,TEX,15,0.199,15,0.077,0.2,6.70%,6.70%,0.00%,89,35.70%,7.10%,35.70%,42.90%,0.56,21.40%,57.10%,21.40%,-0.3,-0.20%,-2.1,0%,,
452,Jordan Westburg,25,BAL,104,0.394,161,0.338,0.232,4.80%,18.30%,5.80%,91.9,54.50%,29.90%,37.70%,27.30%,0.62,24.70%,63.60%,11.70%,1.4,0.80%,10.8,34%,80%,50%
453,Joey Wiemer,25,MIL,19,0.134,-29,0.182,0,0.00%,36.80%,5.30%,84.8,27.30%,18.20%,27.30%,18.20%,0.38,18.20%,63.60%,18.20%,-0.5,-0.40%,-4.6,67%,,75%
454,Alika Williams,25,PIT,39,0.365,129,0.393,0.143,0.00%,18.00%,5.10%,84.7,33.30%,33.30%,36.70%,16.70%,0.65,26.70%,43.30%,30.00%,-0.1,0.00%,1.4,54%,100%,33%
455,Jesse Winker,30,WSN,114,0.381,142,0.333,0.16,2.60%,20.20%,13.20%,88.7,38.90%,23.60%,52.80%,19.40%,1.12,33.30%,47.20%,19.40%,0.9,0.40%,3.9,29%,100%,25%
456,Masyn Winn,22,STL,88,0.357,122,0.404,0.108,0.00%,21.60%,11.40%,86.2,28.80%,37.30%,33.90%,18.60%,0.56,20.30%,47.50%,32.20%,0.1,0.10%,0.6,30%,80%,33%
457,Patrick Wisdom,32,CHC,11,0.326,100,0.333,0.3,0.00%,36.40%,9.10%,91,66.70%,16.70%,16.70%,66.70%,0.2,0.00%,50.00%,50.00%,0.2,0.10%,1.9,33%,,0%
458,Bobby Witt Jr.,24,KCR,131,0.392,151,0.363,0.231,3.10%,20.60%,6.10%,95,58.90%,21.10%,38.90%,36.80%,0.64,20.00%,60.00%,20.00%,0.2,0.10%,6.7,48%,75%,75%
459,Connor Wong,28,BOS,71,0.396,160,0.375,0.239,7.00%,21.10%,1.40%,84.2,30.80%,22.60%,35.80%,26.40%,0.58,28.30%,49.10%,22.60%,0.5,0.30%,4.4,14%,0%,80%
460,Mike Yastrzemski,33,SFG,62,0.293,84,0.306,0.109,3.20%,27.40%,9.70%,86.3,35.90%,30.80%,38.50%,20.50%,0.65,43.60%,48.70%,7.70%,-0.2,-0.10%,1.7,29%,,33%
461,Christian Yelich,32,MIL,46,0.501,224,0.308,0.41,10.90%,17.40%,13.00%,90.4,51.60%,22.60%,45.20%,29.00%,0.82,45.20%,38.70%,16.10%,0.8,0.50%,6.5,14%,100%,33%
462,Masataka Yoshida,30,BOS,89,0.339,113,0.299,0.113,2.30%,12.40%,6.70%,87.7,36.20%,23.20%,47.80%,21.70%,0.92,37.70%,46.40%,15.90%,0.1,0.00%,2.7,35%,,33%
463,Jacob Young,24,WSN,70,0.395,127,0.389,0.063,0.00%,14.30%,1.40%,78.8,35.70%,26.80%,48.20%,8.90%,1.17,19.60%,58.90%,21.40%,0.3,0.10%,4.3,64%,100%,50%
464,Seby Zavala,30,SEA,21,0.146,-16,0.25,0.048,0.00%,42.90%,0.00%,89.1,33.30%,41.70%,33.30%,25.00%,0.5,58.30%,33.30%,8.30%,-0.3,-0.20%,-3.5,67%,,100%
,LgAvg per 600 PA,,,600,0.319,100,0.289,0.145,2.70%,22.40%,8.80%,88.3,39.30%,23.50%,42.50%,26.10%,0.75,29.80%,51.80%,18.30%,-331,-167%,-2366,31%,78%,42%